"Non-flammable polyacrylonitrile fibres prodn. by blending with water-soluble fibre, spinning, weaving and eliminating soluble component",1988-03-29
Polyethylene terephthalate-cotton artificial silk processing involves treatment with sodium hypochlorite of hydrogen peroxide soln. for removal of cellulosic fibres,1990-10-27
"Waste liquid recovering and regenerating device includes a bleaching process during which sodium chlorite liquid from a prior process is processed, and sodium chloride is recovered",1997-07-17
"Dephosphorising method of human hair includes pretreating, washing with water and combing, and using protease to degrade and deform scales of hair after hydrolysis",1997-10-05
"Hot fixing device for carpet surface has pressing rollers and fixing mechanism connected to rollers, where pressing rollers and stoving drum, carpet down hairs are made to incline in same direction, and carpet is thermo-set",2000-11-10
"Safe bra support cover has a liner equipped inside the surface of cover body, and on the inside surface of the liner the position correspondent to the brassiere support in cover body is equipped with at least one row of projected granules",2002-07-16
"Eight-colour double fancy preparing method applies to development fashion internal and foreign where it divides coarse yarn with eight kinds of color into two segment, and uses cocket centring, uses different speed to feed machine",2003-10-15
"Dyeing method for poly lact-fibre, involves mixing with refining agent and sodium carbonate, dyeing with dispersing dyeing added with acetic acid while heating, and reduction cleaning with water",2004-02-13
"Mercerized fiber dyed yarn and fabricating method, by two or more colours of colour fibres spinning, the prepared yarn features that yarn colour has better brightness, fastness and fineness",2004-10-25
"Dyeing tussah silk comprises pretreating tussah silk with hydrogen peroxide solution, adding leveling agent, slow dyeing agent and BF reactive dyes, adjusting pH, color fixing process with sodium carbonate, washing, dehydrating and drying",2005-04-13
"Alpace wool-cashmere yarn blend spinning method comprises mixing wool-mixing oil, anti-static agent and water through the wool-mixing machine and finally spinned through carding machine and spinning machine",2005-07-09
"Hammock bedstead, has hanging ring fixed on upper hanging part or lower hanging part, where hanging parts are fixed on back supporting part, and hanging groove matched with another hanging ring",2005-07-29
"Short fiber wrapped compound spinning set for primary slender yarn machine, has front skin roller connected with shaking brocket, transferring skin roller installed on connection set, and wrap roller installed on back side of connection set",2005-07-06
"Electric punching and edge fusion machine for processing fabric fringe, has fiber edge fusion device arranged behind revolving punching device, and fabric carrier block provided under hot melt head with heater strip",2006-01-17
"Automatic tackless machine for tossa used in textile industry, has soakage box with tossa moving device that is operated by motor device, to move adhesive material dipped tossa from soakage box to outlet hopper",2006-02-13
"Forficiform connecting rod, has district rod located parallel with another district rod, where section of rod is fixed between front point of former district rod and back point of latter district rod",2005-11-24
"Coupling system for collapsible structure e.g. tent, gazebo has first coupling unit having bracket that defines channel configured to facilitate coupling of each coupling unit to frame assembly and receptacle",2006-03-03
"Two member bars pivoted and connected device, has pivot axe passed through two connected bases and two member bars, and two rotating limiting grooves located on outer side face of two member bars",2006-01-25
"Strain equipment for use during combining, twisting and processing bulk stretched silk yarn, has column-form strain yarn guiding sleeve cylinder fixed in concave grooves, and lower yarn guiding board fixed with positioning rod",2006-04-30
"Flexible pipe for e.g. high-pressure oil tube, has braided hose hitched on outer wall of inner pipe, inner pipe and braided hose adhered by gluing layer, and coat layer that is made of composite polymer material",2006-03-22
"Rapid steamer for producing synthetic polyester deep color blanket, has evaporator tube line placed at bottom of steaming room in cover, and corrosion resistant layer formed on inner wall of cover",2006-04-24
"Folding hanging bed frame comprises the two supporting part, where each supporting part comprises two group of four-rod subassemblies which are configured symmetrically and the can be entirely folded",2006-03-31
"Locating device includes elastic piece set inside of inner tube, locating pillar and button pillar are set on active surface of elastic piece, locating through hole and button through hole are set on inner tube",2006-03-20
"Puller, comprises main body, walking gear set on main body to drive puller to walk, and driving device set on main body and control device, and walking gear driving connects with output side of driving device",2006-06-17
"Method for fabricating composite paper from non-woven material as base material, wood pulp and cotton pulp plant fibre as face paper and finally adopts hydro-entanglement process",2005-04-22
Automatic push-tooth forming mold for metal zipper manufacturing has middle section of automatic push-tooth forming mould which is set with automatic pusher for pushing cut single zipper tooth forward and discharging device,2006-09-27
"Folding bedstead for hammock, has two supporting assembly installed on side by side with each other, and forficiform connecting rod separately jointed with two front ends of forficiform connecting rod",2006-03-24
"Textile electroless plating device, has one hash symbol additive channel applied to put displaced plating liquid, another hash symbol additive channel applied to put spare plating liquid, and third hash symbol additive channel",2006-11-23
"Fabric manufacturing method involves passing metal filament and yarn into nozzle having compressed air, and combining filament and yarn together so that they are coiled on bobbin of two-for-one twister using reciprocating silk guide",2006-06-06
"Manufacture of Richcel fiber ecologic textile, involves plaiting knitted textile with Richcel fiber, treating with treating liquid containing purified enzyme and performing air-flow atomization coloration by dye solution",2006-06-12
"Composite multicylinder rotary dyeing machine for woof, has two inner cylinders placed in body of outer cylinder, where inner cylinders are connected with driver components and work through inner cylinder support",2006-09-26
"Cloth clip for cutting fabric, has guide block fixed at both ends of upper head face on upper splint, ends of spring guide board corresponding with upper splint fixed with guide groove, and stand board fixed with link line of guide groove",2006-12-31
"Mix-spinning method of hemp and other fibers, involves forming yarn, while twisting reconditioned hemp strip that is obtained by cleaning and combing reconditioned harl mixed with other fibers",2007-08-20
"Manufacture of sulfur-resistant nylon magic tape for rubber products comprises washing nylon magic tape with cleaning agent and whitening finishing agent, dewatering, treating with glue with sulfur-resistant finishing agent, and then drying",2007-09-14
"Guide device for spandex core-spun yarn silk has bearing chamber which is sealed by gasket, and spring that is coated on shaft and is blocked between silk guide wheel and silk guide rack",2007-01-15
"Preparation of low-magnesium battery-grade lithium carbonate used as cathode material for lithium ion battery, involves purifying lithium sulfate solution, preparing soda solution, producing crude lithium carbonate, and crushing",2007-08-21
"Massage function enabled furniture e.g. leisure chair, has massage module directly connected to support cloth through connecting section, and battery switch and battery arranged in placing bag, where placing bag is provided with placket",2007-04-28
"Fully foldable bedstead, has intercross shelf whose support rods are provided with upper and lower terminals, and another intercross shelf whose two lower end parts are respectively pivot-jointed at two groups of former intercross shelf",2007-03-08
"V-shaped pneumatic pressurizing cradle, has handle ball connected to pressure divider through long shift pin and short shift pin for allocating pressure to front, middle and back rollers",2007-01-13
"Warping machine protective cover, has guard frame connected with synthetic glass panel and windshield pane by rivet and constituting close outer housing that covers warp shaft involution area of warping machine",2007-06-14
"Swimsuit material, has nanometer protective film, where film is provided on surface of material, and grain diameter of nanometer material is smaller than or equal to specific nanometer",2007-11-28
"Compact sheath-core complex fiber weaving method, involves weaving through spinneret plate with compact sheath-core complex spinneret orifice, and melting high polymer as filature material cortex and sandwich layer",2007-11-28
"Hot steam recovery system for hot spunlace, has top shade with side installed with exhaust pipe, and driving steam exhausting fan through electric motor, where shade continuously exhausts hot steam during drying process",2007-11-28
"Crescent shaped spinneret plate processing method, involves utilizing controlled machine to process when processing plate, and transiting plate hole crescent by arc, and two holes formed with certain distance and adjacent to each other",2007-11-28
"Manufacturing method of continuous non-woven fabric ringed mesh device, involves rotating motor and fiber net at specific degrees so that specific linear velocities exist on rigid material of steel pipes to form ring shaped fiber",2007-11-28
"Warp knitting short velour product for producing e.g. high-grade fashionable dress, has terylen porous ultra-fine denier filament provided to weave on knitting warp knitting machine",2007-11-28
